,id,title,type,release_year,lenght,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genre,country,imdb_score_level,tmdb_score_level
5832,tm1219398,Bo Burnham: The Inside Outtakes,movie,2022,63,"comedy, music, drama",US,0,8.2,0,7.0,7.7,comedy,US,,High score
5833,tm1121084,Izla,movie,2021,85,"horror, comedy",PH,0,3.6,150,6.7,5.5,horror,PH,Low score,Low score
5834,ts321966,WWII in Color: Road to Victory,show,2021,51,"war, documentation, history",GB,1,8.2,2100,6.5,7.4,war,GB,,High score
5835,ts280693,Thomas & Friends: All Engines Go!,show,2021,11,"animation, comedy, family, music, drama, fantasy",US,1,2.3,694,6.4,5.0,animation,US,Low score,Low score
5836,ts372345,Summer Job,show,2022,46,reality,IT,1,5.6,132,5.6,6.1,reality,IT,Low score,High score
5837,tm1264781,Possessed,movie,2022,94,"thriller, action, horror",MY,0,4.6,117,5.3,5.5,thriller,MY,Low score,Low score
5838,ts328383,Finding Ola,show,2022,53,"comedy, drama",EG,1,7.5,1857,5.2,7.6,comedy,EG,High score,High score
5839,tm1037800,Soy Rada: Serendipity,movie,2021,70,"comedy, drama",AR,0,6.1,84,4.8,4.5,comedy,AR,High score,Low score
5840,tm1234767,David A. Arnold: It Ain't for the Weak,movie,2022,78,"documentation, comedy",US,0,6.5364428,0,4.7,6.2,documentation,US,,High score
5841,tm1101878,Honey Girls,movie,2021,90,"music, family, comedy",US,0,5.0,212,4.6,5.1,music,US,Low score,Low score
5842,ts343492,Thermae Romae Novae,show,2022,29,"animation, comedy, fantasy, history",JP,1,7.0,1002,4.6,6.5,animation,JP,High score,High score
5843,tm1165179,Kongsi Raya,movie,2022,102,"family, comedy, romance",MY,0,6.9,87,4.6,7.0,family,MY,High score,High score
5844,ts282214,Let's Fight Ghost,show,2021,67,"action, fantasy, horror, romance",TH,1,7.0,125,4.6,7.0,action,TH,High score,High score
5845,ts322506,Word Party Presents: Math!,show,2021,27,"animation, family",US,1,6.8,16,4.5,2.0,animation,US,High score,Low score
5846,ts377141,The Ultimatum: Marry or Move On,show,2022,50,reality,US,2,5.5,2154,4.5,5.7,reality,US,Low score,Low score
5847,ts321614,Blippi Wonders,show,2021,5,"animation, family",US,1,4.4,41,4.4,1.6,animation,US,Low score,Low score
5848,tm1213009,Dear Friend,movie,2022,118,"drama, comedy, romance, thriller",IN,0,5.9,1007,4.4,5.4,drama,IN,Low score,Low score
5849,ts317144,Adventure Beast,show,2021,19,"comedy, animation",US,1,5.3,634,4.4,6.6,comedy,US,Low score,High score
5850,ts365636,Siempre reinas,show,2022,55,reality,MX,1,6.8,84,4.3,5.4,reality,MX,High score,Low score
5851,tm1096880,Thomas & Friends: All Engines Go - Race for the Sodor Cup,movie,2021,60,"animation, family",US,0,3.7,96,4.3,6.0,animation,US,Low score,High score
5852,tm1147890,The Hand of God: Through the Eyes of Sorrentino,movie,2021,8,documentation,IT,0,7.0,12,4.3,6.4,documentation,IT,High score,High score
